id,name,terminalName,lastCommWithServer,lat,long,installed,installDate,removalDate,temporary,public,capacity
79,18th & M St NW,31221,1.36837E+12,38.904742,-77.041606,TRUE,1.28646E+12,,FALSE,TRUE,19
80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,1.36837E+12,38.947607,-77.079382,TRUE,1.28715E+12,,FALSE,TRUE,13
81,13th & H St NE,31611,1.36837E+12,38.9003,-76.9882,TRUE,1.28655E+12,,FALSE,TRUE,27
82,5th & F St NW,31620,1.36837E+12,38.897222,-77.019347,TRUE,1.28649E+12,,FALSE,TRUE,31
83,New York Ave & 15th St NW,31222,1.36837E+12,38.8991,-77.0337,TRUE,1.28663E+12,,FALSE,TRUE,15
84,Convention Center / 7th & M St NW,31223,1.36837E+12,38.90572,-77.022264,TRUE,1.28663E+12,,FALSE,TRUE,19
85,Harvard St & Adams Mill Rd NW,31112,1.36837E+12,38.927872,-77.043358,TRUE,1.29416E+12,,FALSE,TRUE,12
86,19th & L St NW,31224,1.36837E+12,38.903407,-77.043648,TRUE,1.28718E+12,,FALSE,TRUE,15
87,C & O Canal & Wisconsin Ave NW,31225,1.36837E+12,38.90375,-77.06269,TRUE,1.28746E+12,,FALSE,TRUE,23
88,7th & Water St SW / SW Waterfront,31609,1.36837E+12,38.878925,-77.024016,TRUE,1.28772E+12,,FALSE,TRUE,19
89,D St & Maryland Ave NE,31612,1.36837E+12,38.894758,-76.997114,TRUE,1.33009E+12,,FALSE,TRUE,23
90,34th St & Wisconsin Ave NW,31226,1.36837E+12,38.916442,-77.0682,TRUE,1.28718E+12,,FALSE,TRUE,11
91,13th St & New York Ave NW,31227,1.36837E+12,38.900283,-77.029822,TRUE,1.28742E+12,,FALSE,TRUE,23
92,8th & H St NW,31228,1.36837E+12,38.8997,-77.023086,TRUE,1.28712E+12,,FALSE,TRUE,33
93,10th & Monroe St NE,31504,1.36837E+12,38.932514,-76.992889,TRUE,1.2871E+12,,FALSE,TRUE,10
94,Eckington Pl & Q St NE,31505,1.36837E+12,38.910972,-77.00495,TRUE,1.2871E+12,,FALSE,TRUE,11
95,6th & H St NE,31615,1.36837E+12,38.900384,-76.99831,TRUE,1.3237E+12,,FALSE,TRUE,21
96,3rd & H St NE,31616,1.36837E+12,38.90002,-77.002166,TRUE,1.2871E+12,,FALSE,TRUE,19
97,Bladensburg Rd & Benning Rd NE,31617,1.36837E+12,38.900413,-76.982872,TRUE,1.2882E+12,,FALSE,TRUE,15
98,4th & East Capitol St NE,31618,1.36837E+12,38.889955,-77.000349,TRUE,1.28703E+12,,FALSE,TRUE,11
99,Lincoln Park / 13th & East Capitol St NE ,31619,1.36837E+12,38.890461,-76.988355,TRUE,1.28804E+12,,FALSE,TRUE,24
100,Branch & Pennsylvania Ave SE,31701,1.36837E+12,38.8692,-76.9599,TRUE,1.30901E+12,,FALSE,TRUE,11
101,13th & D St NE,31622,1.36837E+12,38.894832,-76.987633,TRUE,1.28811E+12,,FALSE,TRUE,31
102,New Hampshire Ave & T St NW [formerly 16th & U St NW],31229,1.36837E+12,38.91554,-77.03818,TRUE,1.28718E+12,,FALSE,TRUE,22
103,Metro Center / 12th & G St NW,31230,1.36837E+12,38.898364,-77.027869,TRUE,1.30526E+12,,FALSE,TRUE,31
104,14th & D St NW / Ronald Reagan Building,31231,1.36837E+12,38.894514,-77.031617,TRUE,1.30331E+12,,FALSE,TRUE,25
105,7th & F St NW / National Portrait Gallery,31232,1.36837E+12,38.897324,-77.022322,TRUE,1.30411E+12,,FALSE,TRUE,18
106,17th & K St NW / Farragut Square,31233,1.36837E+12,38.902061,-77.038322,TRUE,1.30402E+12,,FALSE,TRUE,18
107,20th & O St NW / Dupont South,31234,1.36837E+12,38.908905,-77.04478,TRUE,1.32885E+12,,FALSE,TRUE,18
108,4th & D St NW / Judiciary Square,31621,1.36837E+12,38.895344,-77.016106,TRUE,1.30448E+12,,FALSE,TRUE,15
109,19th St & Constitution Ave NW,31235,1.36837E+12,38.8923,-77.0436,TRUE,1.28761E+12,,FALSE,TRUE,23
110,37th & O St NW / Georgetown University,31236,1.36837E+12,38.90774,-77.071652,TRUE,1.28804E+12,,FALSE,TRUE,23
111,11th & H St NE,31614,1.36837E+12,38.899983,-76.991383,TRUE,1.32367E+12,,FALSE,TRUE,18
112,25th St & Pennsylvania Ave NW,31237,1.36837E+12,38.903827,-77.053485,TRUE,1.28855E+12,,FALSE,TRUE,15
113,Columbus Circle / Union Station,31623,1.36837E+12,38.89696,-77.00493,TRUE,1.28591E+12,,FALSE,TRUE,31
114,North Capitol St & F St NW,31624,1.36837E+12,38.897446,-77.009888,TRUE,1.28812E+12,,FALSE,TRUE,22
115,11th & M St NW,31266,1.36837E+12,38.905607,-77.027137,TRUE,1.365E+12,,FALSE,TRUE,18
116,36th & Calvert St NW / Glover Park,31304,1.36837E+12,38.922581,-77.070334,TRUE,1.28924E+12,,FALSE,TRUE,15
117,14th & G St NW,31238,1.36837E+12,38.898069,-77.031823,TRUE,1.28924E+12,,FALSE,TRUE,23
118,Potomac Ave & 35th St S,31052,1.36837E+12,38.844015,-77.050537,TRUE,1.35109E+12,,FALSE,TRUE,23
